team,espn_name,twitter,url,ncaa_id,stats_name,private,team_state,conference,division
Eastern Michigan,E Michigan,emuwbb,https://emueagles.com/sports/womens-basketball,204,Eastern Mich.,NA,MI,MAC,I
Mont. St. Billings,Mont. St. Billings,MSUBWBB,https://msubsports.com/sports/womens-basketball,205,Montana St. Billings,NA,MT,Great Northwest,II
Eastern N.M.,Eastern N.M.,ENMUWBB,https://goeasternathletics.com/sports/womens-basketball,206,Eastern N.M.,NA,NM,Lone Star,II
Eastern Washington,E Washington,ewuwbb,https://goeags.com/sports/womens-basketball,207,NA,NA,WA,Big Sky,I
Eckerd,Eckerd,EC_WBB,https://eckerdtritons.com/sports/womens-basketball,208,Eckerd,NA,FL,Sunshine State,II
Edinboro,Edinboro,BoroWBB,https://gofightingscots.com/sports/womens-basketball,209,Edinboro,NA,PA,PSAC,II
Elizabethtown,Elizabethtown,BlueJaysWBB,https://etownbluejays.com/sports/womens-basketball,211,Elizabethtown,NA,PA,Landmark,III
Elmhurst,Elmhurst,ElmhurstU_WBB,https://elmhurstbluejays.com/sports/womens-basketball,212,Elmhurst,NA,IL,CCIW,III
Elmira,Elmira,ElmiraWBB,https://athletics.elmira.edu/sports/womens-basketball,213,NA,NA,NY,Empire 8,III
Emerson,Emerson,EmersonWBBall,https://www.emersonlions.com/sports/wbkb/index,214,NA,NA,MA,NEWMAC,III
Emmanuel (MA),Emmanuel (MA),EmmanuelHoops,https://www.goecsaints.com/sports/w-baskbl/index,215,NA,TRUE,MA,Great Northeast,III
Emory & Henry,Emory & Henry,EHCWBB,https://www.gowasps.com/sports/wbkb/index,216,Emory & Henry,NA,VA,SAC,II
Emory,Emory,EmoryWBB,https://www.emoryathletics.com/sports/wbkb/index,217,NA,NA,GA,UAA,III
Eureka,Eureka,wildcatwmnhoops,http://www.eurekareddevils.com/sports/wbkb/index,218,NA,NA,IL,SLIAC,III
Evansville,Evansville,ueathletics_wbb,https://gopurpleaces.com/sports/womens-basketball,219,Evansville,NA,IN,MVC,I
Fairfield,Fairfield,stagswbball,https://fairfieldstags.com/sports/womens-basketball,220,Fairfield,NA,CT,MAAC,I
FDU-Florham,FDU-Florham,DevilsWBB,https://fdudevils.com/sports/womens-basketball,221,FDU-Florham,NA,NJ,MAC Freedom,III
Fairleigh Dickinson,FDU,fduknightswbb,https://fduknights.com/sports/womens-basketball,222,Fairleigh Dickinson,NA,NJ,NEC,I
Ferris St.,Ferris St.,FerrisWBBall,https://www.ferrisstatebulldogs.com/sports/wbkb/index,224,NA,NA,MI,GLIAC,II
Ferrum,Ferrum,FerrumWBB,https://ferrumpanthers.com/sports/womens-basketball,225,NA,NA,VA,ODAC,III
Fitchburg St.,Fitchburg St.,FSU_FalconsWBB,https://www.fitchburgfalcons.com/sports/wbkb/index,227,NA,NA,MA,MASCAC,III
Florida A&M,Florida A&M,FAMU_WBB,https://famuathletics.com/sports/womens-basketball,228,Florida A&M,NA,FL,SWAC,I
