team_id,team_short_display_name,off_mahal_mean,off_mahal_median,off_mahal_sd,off_mahal_max,off_gen_var_ratio,def_mahal_mean,def_mahal_median,def_mahal_sd,def_mahal_max,def_gen_var_ratio,n_wins,conference_short_name,conf_tier,off_def_gap,total_mahal
2603,Saint Joseph's,5.00084516609127,3.6848288256149786,4.096531567167965,14.016739334552906,0.592115285131113,3.403440198173401,2.5060393729985977,2.499056988289706,9.220234556902266,0.2665999029130621,19,NA,NA,1.5974049679178686,8.40428536426467
2050,Ball State,5.138140440061739,4.124467528454325,4.1883573715574185,15.577278405058498,0.306913294322967,3.2249806178601266,2.1556494388442844,3.0099437466598653,11.114808970802397,0.30659098377294075,22,MAC,Mid/Low Major,1.9131598222016124,8.363121057921866
2309,Kent State,3.875820216406972,3.4449881500498387,2.8194961423372447,10.79786228367916,0.08940594669116517,4.479141682035894,3.9089562013364114,2.0603146094023104,9.754669053520676,1.1138201751947059,13,MAC,Mid/Low Major,-0.6033214656289219,8.354961898442866
2226,FAU,5.151163365851386,4.890396876223398,3.2419095169668912,11.02000061139501,0.49021255883517206,3.1679404923566854,2.4082052085343855,2.01566241857122,7.45686105023202,0.2463922663834434,12,NA,NA,1.9832228734947006,8.319103858208072
16,Sacramento St,3.9088883701175874,2.524115723375793,4.1113637986236835,16.036373707426446,0.05473253408536906,4.360314447233676,3.1967360930504287,4.481778690642639,18.033104984410603,0.9642826104951029,12,NA,NA,-0.4514260771160883,8.269202817351264
252,BYU,4.996465299637399,5.073709807850312,2.8346628786797274,13.235596816595274,0.577009449060521,3.230460762310457,2.332902927879801,2.6897526314410736,10.300016233744783,0.11381731330958499,18,NA,NA,1.7660045373269422,8.226926061947855
2,Auburn,4.525389162977684,3.5157587464784683,4.104251810659251,17.044300891014057,0.3614900395744517,3.6963284062507724,2.7952084237025026,4.384311807302447,17.894577083342757,0.3317174943926012,14,SEC,Power 4,0.8290607567269119,8.221717569228456
2210,Elon,3.9188354466645032,3.80492315954253,2.492493181643608,8.72474038678775,0.049468939040243055,4.299530081228113,3.300811091326847,3.36928437137972,11.797400871631849,0.5220146469063931,13,CAA,Mid/Low Major,-0.38069463456360975,8.218365527892615
2729,William & Mary,3.483915820073332,2.759996268313223,2.004173227677675,7.829069256172764,0.10381806900761091,4.689352806825338,5.425597037141395,3.387809701915931,11.341771797759549,0.6684024195281629,13,CAA,Mid/Low Major,-1.2054369867520056,8.17326862689867
142,Missouri,5.939686739473496,4.551283702519883,4.332753660541771,19.527668770867965,0.9405543004804242,2.2163844084810957,1.955904701172567,1.0351262975903408,5.015274196011679,0.07175504217358102,16,SEC,Power 4,3.7233023309924,8.156071147954592
2501,Portland,4.211049918027255,3.1164153164398325,2.881439087375308,9.248396683378422,0.10471655374351517,3.944196573050491,3.9015196543809196,2.9042013477890705,10.129465164408671,0.3533782796509999,16,WCC,High Major,0.2668533449767643,8.155246491077746
2916,Incarnate Word,3.9764332075566546,3.2334014204861328,1.7248223554224769,7.4875248647840955,0.21952946777436289,4.158255891326878,3.2955976701463183,3.279987393436689,12.823831586138738,0.46255328882118696,13,Southland,Mid/Low Major,-0.18182268377022304,8.134689098883532
2198,E Kentucky,4.6192953806656964,3.1824725086251973,3.8956937513531935,14.673552296439851,0.20633209270493444,3.4903182671696906,3.009555618366252,2.887898413398164,12.891860539430533,0.40558360341469685,22,NA,NA,1.1289771134960058,8.109613647835387
