country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Greece,Serbia,51,85,1806,5,Eleni Bosgana,20:03,9,4/8,3/4,1/4,0/0,0,2,2,0,3,2,1,0,-4,6
Greece,Serbia,51,85,1806,6,Dionysia Alexandri,16:26,3,1/3,0/2,1/1,0/2,1,0,1,0,2,1,0,0,-28,-1
Greece,Serbia,51,85,1806,8,Pinelopi Pavlopoulou,25:59,7,2/5,1/4,1/1,2/2,0,1,1,2,0,4,1,0,-24,4
Greece,Serbia,51,85,1806,11,Angeliki Nikolopoulou,16:53,3,1/2,0/1,1/1,0/0,1,0,1,0,2,1,0,0,-18,2
Greece,Serbia,51,85,1806,12,Aikaterina Sotiriou,23:23,7,3/6,2/2,1/4,0/0,0,2,2,4,2,2,0,0,-20,8
Greece,Serbia,51,85,1806,13,Vasiliki Louka,09:55,2,1/3,1/3,0/0,0/0,0,1,1,0,3,0,0,0,-6,1
Greece,Serbia,51,85,1806,15,Artemis Spanou,27:09,10,4/6,4/5,0/1,2/3,1,0,1,0,3,6,0,0,-30,2
Greece,Serbia,51,85,1806,19,Christina Anastasopoulou,10:00,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,1,0,-6,1
Greece,Serbia,51,85,1806,23,Elena Tsineke,07:16,6,2/5,2/4,0/1,2/2,1,2,3,0,0,2,2,1,-2,7
Greece,Serbia,51,85,1806,26,Ioanna Diela,22:20,0,0/2,0/2,0/0,0/0,1,3,4,1,1,1,0,0,0,2
Greece,Serbia,51,85,1806,34,Maria Emmanouela Fasoula,20:36,4,2/10,2/10,0/0,0/0,3,2,5,0,1,1,0,0,-32,0
Serbia,Greece,85,51,1806,5,Sonja Vasic,13:07,7,3/4,2/3,1/1,0/0,1,0,1,1,0,1,0,0,16,7
Serbia,Greece,85,51,1806,6,Sasa Cadjo,13:41,8,3/4,1/1,2/3,0/0,0,2,2,0,1,0,1,0,2,10
Serbia,Greece,85,51,1806,8,Nevena Jovanovic,26:53,8,4/10,4/6,0/4,0/0,4,2,6,3,2,3,1,0,18,9
Serbia,Greece,85,51,1806,9,Jelena Brooks,15:13,3,1/3,0/0,1/3,0/0,1,0,1,2,1,0,2,0,14,6
Serbia,Greece,85,51,1806,10,Dajana Butulija,24:19,11,4/11,2/4,2/7,1/1,5,3,8,2,2,2,4,0,15,16
Serbia,Greece,85,51,1806,11,Aleksandra Crvendakic,09:13,13,6/6,5/5,1/1,0/0,0,2,2,2,1,0,0,0,18,17
Serbia,Greece,85,51,1806,12,Yvonne Anderson,23:34,9,3/10,2/6,1/4,2/4,1,2,3,2,2,1,2,0,15,6
Serbia,Greece,85,51,1806,23,Ana Dabovic,09:13,5,2/3,2/2,0/1,1/1,0,0,0,3,0,0,0,0,18,7
Serbia,Greece,85,51,1806,24,Maja Skoric,12:48,7,3/5,2/3,1/2,0/0,1,1,2,2,2,0,0,0,15,9
Serbia,Greece,85,51,1806,25,Masa Jankovic,17:01,7,1/4,1/3,0/1,5/6,4,2,6,2,1,0,2,0,2,13
Serbia,Greece,85,51,1806,32,Angela Dugalic,23:09,5,2/5,2/4,0/1,1/2,1,3,4,2,3,4,2,0,2,5
Serbia,Greece,85,51,1806,33,Tina Krajisnik,11:49,2,1/4,1/3,0/1,0/0,1,4,5,0,2,1,2,0,35,5
Turkey,Bosnia and Herzegovina,54,64,1806,1,Pelin Bilgic,22:43,5,2/10,1/7,1/3,0/1,0,1,1,2,3,3,0,0,-1,-4
Turkey,Bosnia and Herzegovina,54,64,1806,2,Sevgi Uzun,00:34,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,2,0
Turkey,Bosnia and Herzegovina,54,64,1806,4,Olcay Cakir,21:00,4,2/8,2/7,0/1,0/0,0,1,1,6,4,1,0,0,-1,4
Turkey,Bosnia and Herzegovina,54,64,1806,5,Melis Gulcan,24:33,17,7/11,6/8,1/3,2/2,6,8,14,0,3,0,0,0,2,27
Turkey,Bosnia and Herzegovina,54,64,1806,9,Bahar Caglar Okten,20:25,9,4/11,4/11,0/0,1/2,0,6,6,0,0,2,1,0,7,6
Turkey,Bosnia and Herzegovina,54,64,1806,12,Tugce Canitez,20:31,2,1/5,1/4,0/1,0/0,4,4,8,1,3,2,2,0,-19,7
Turkey,Bosnia and Herzegovina,54,64,1806,13,Quanitra Hollingsworth,30:51,7,2/6,2/6,0/0,3/4,7,5,12,0,3,2,0,1,-8,13
Turkey,Bosnia and Herzegovina,54,64,1806,23,Meltem Yildizhan,15:27,0,0/3,0/1,0/2,0/0,0,5,5,0,3,1,0,0,-12,1
Turkey,Bosnia and Herzegovina,54,64,1806,24,Inci Guclu,05:33,3,1/2,1/2,0/0,1/1,0,1,1,0,1,1,0,0,0,2
Turkey,Bosnia and Herzegovina,54,64,1806,25,Şerife Alperi Onar,16:46,4,2/9,2/6,0/3,0/0,0,0,0,3,2,2,1,0,-7,-1
Turkey,Bosnia and Herzegovina,54,64,1806,33,Esra Ural Topuz,02:40,0,0/0,0/0,0/0,0/0,0,0,0,0,1,0,0,0,0,0
Turkey,Bosnia and Herzegovina,54,64,1806,99,Goksen Fitik,18:57,3,1/5,0/2,1/3,0/0,1,2,3,1,3,1,1,0,-13,3
Bosnia and Herzegovina,Turkey,64,54,1806,4,Milica Deura,25:09,2,0/7,0/5,0/2,2/2,1,1,2,3,0,0,0,0,-8,0
Bosnia and Herzegovina,Turkey,64,54,1806,5,Miljana Dzombeta,12:51,4,2/3,2/3,0/0,0/0,1,2,3,0,1,0,0,0,16,6
Bosnia and Herzegovina,Turkey,64,54,1806,7,Nikolina Babic,33:13,10,2/4,1/3,1/1,5/6,0,2,2,3,3,2,2,0,10,12
Bosnia and Herzegovina,Turkey,64,54,1806,9,Dragana Domuzin,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
