college,ncaa_id,college_clean,category
Booker High School,,Booker High School,Other
Booker T. Washington High School,,Booker T. Washington High School,Other
Boston,68,Boston,College
Boston University,68,Boston,College
Boston Celtics,,Boston Celtics,Professional
Boston College,67,Boston College,College
Boulder High School,,Boulder High School,Other
Bow High School,,Bow High School,Other
Bowdoin College,69,Bowdoin College,College
Bowie St.,70,Bowie St.,College
Bowie State,70,Bowie State,College
BGSU,71,Bowling Green,College
Bowling Green,71,Bowling Green,College
Bowling Green State,71,Bowling Green,College
Bowling Green State University,71,Bowling Green,College
Bowling Green High School,,Bowling Green High School,Other
Boys and Girls Clubs of Greater New Bedford,,Boys and Girls Clubs of Greater New Bedford,Other
Boys Hope Girls Hope,,Boys Hope Girls Hope,Other
Boys Town High School,,Boys Town High School,Other
Bradley,72,Bradley,College
Bradley University,72,Bradley,College
Braintree High School,,Braintree High School,Other
Brandeis,73,Brandeis,College
Brandon HS,,Brandon HS,Other
Brandon Valley School District,,Brandon Valley School District,Other
Brazilian Basketball Federation,,Brazilian Basketball Federation,Other
Brea Olinda High School,,Brea Olinda High School,Other
Breck,,Breck,Other
Breck High School,,Breck High School,Other
Brentwood Academy,,Brentwood Academy,Other
Brevard Community College,,Brevard CC,Community College
Brevard College,30094,Brevard College,College
Brewer High School,,Brewer High School,Other
Brewton-Parker College,,Brewton-Parker College,College
Briar Cliff,,Briar Cliff,College
Briar Cliff University,,Briar Cliff University,College
Bridgeport,74,Bridgeport,College
Bridgewater,75,Bridgewater,College
Bridgewater College,75,Bridgewater College,College
Bristol Tennessee High School,,Bristol Tennessee High School,Other
Brockport,78,Brockport,College
Brookdale Community College,,Brookdale Community College,Community College
Brookings High School,,Brookings High School,Other
Brooklyn Nets,,Brooklyn Nets,Professional
Brookville High School,,Brookville High School,Other
Broomfield HS,,Broomfield HS,Other
BrotherlyLuv Academy,,BrotherlyLuv Academy,Other
Broughton High School,,Broughton High School,Other
Broward College,,Broward College,Community College
Brown,80,Brown,College
Brown University,80,Brown,College
Brown Mackie College,,Brown Mackie College,College
Brusly High,,Brusly High,Other
Bryan College,,Bryan College,College
Bryant,81,Bryant,College
Bryant & Stratton College,,Bryant & Stratton College,College
Bryn Athyn,30188,Bryn Athyn,College
Bryn Mawr College,82,Bryn Mawr,College
Buchanan High School,,Buchanan High School,Other
Buckeye Central High School,,Buckeye Central High School,Other
Bucknell,83,Bucknell,College
Bucknell University,83,Bucknell,College
Buena Vista,84,Buena Vista,College
Buena Vista University,84,Buena Vista University,College
Buffalo,86,Buffalo,College
University at Buffalo,86,Buffalo,College
University of Buffalo,86,Buffalo,College
Buffalo Sabres,,Buffalo Sabres,Professional
Buffalo State,85,Buffalo State College,College
Buffalo State College,85,Buffalo State College,College
Bunnell High School,,Bunnell High School,Other
BurnFatBeFit,,BurnFatBeFit,Other
Butler,87,Butler,College
Butler Community College,,Butler CC,Community College
Butler University,87,Butler University,College
Butte Community College,,Butte CC,Community College
Butte College,,Butte College,Community College
Butternut-Glidden High School,,Butternut-Glidden High School,Other
Byrd Middle School,,Byrd Middle School,Other
Brigham Young,77,BYU,College
BYU,77,BYU,College
C.A. Johnson High School,,C.A. Johnson High School,Other
C.H. Flowers High School,,C.H. Flowers High School,Other
C2Sports,,C2Sports,Other
Cal Poly,90,Cal Poly,College
Cal Poly Humboldt,291,Cal Poly Humboldt,College
Humboldt State,291,Cal Poly Humboldt State,College
Humboldt State University,291,Cal Poly Humboldt State,College
California State University Maritime Academy,,Cal Poly Maritime,College
Cal Poly Pomona,91,Cal Poly Pomona,College
Cal Poly University,90,Cal Poly University,College
Cal Sparks AAU,,Cal Sparks AAU,Other
Cal St. Dom. Hills,92,Cal St. Dom. Hills,College
Cal St. Dominguez Hills,92,Cal St. Dominguez Hills,College
Cal St. East Bay,98,Cal St. East Bay,College
Cal St. Monterey Bay,30055,Cal St. Monterey Bay,College
Cal St. San Bernardino,93,Cal St. San Bernardino,College
Cal St. San Marcos,30198,Cal St. San Marcos,College
CSU Bakersfield,94,Cal State Bakersfield,College
Cal State Bakersfield,94,Cal State Bakersfield,College
California State Bakersfield,94,Cal State Bakersfield,College
Cal State Dominguez Hills,92,Cal State Dominguez Hills,College
Cal State-Dominguez Hills,92,Cal State Dominguez Hills,College
Cal State East Bay,98,Cal State East Bay,College
CSU Fullerton,97,Cal State Fullerton,College
Cal State Fullerton,97,Cal State Fullerton,College
California State Fullerton,97,Cal State Fullerton,College
Cal State Hayward,98,Cal State Hayward,College
Cal State LA,100,Cal State Los Angeles,College
Cal State Los Angeles,100,Cal State Los Angeles,College
Cal State - Monterey Bay,30055,Cal State Monterey Bay,College
Cal State Monterey Bay,30055,Cal State Monterey Bay,College
CSUN,101,Cal State Northridge,College
Cal State Northridge,101,Cal State Northridge,College
"California State University, Northridge",101,Cal State Northridge,College
Cal State San Bernardino,93,Cal State San Bernardino,College
Cal State University San Bernardino,93,Cal State San Bernardino,College
CSUSM,30198,Cal State San Marcos,College
Cal State San Marcos,30198,Cal State San Marcos,College
Cal State University Monterey Bay,30055,Cal State University Monterey Bay,College
"Cal State University, Dominguez Hills",92,"Cal State University, Dominguez Hills",College
Cal U (PA),106,Cal U (PA),College
Caldwell,995,Caldwell,College
Caldwell College,995,Caldwell College,College
Caldwell Community College,,Caldwell Community College,Community College
Caldwell University,995,Caldwell University,College
Calhoun High School,,Calhoun High School,Other
Calibrate Sports Health,,Calibrate Sports Health,Other
Cal,107,California,College
California,107,California,College
University of California,107,California,College
California (PA),106,California (PA),College
Cal Baptist,30135,California Baptist,College
Cal Baptist University,30135,California Baptist,College
California Baptist,30135,California Baptist,College
California Institute of Technology,89,California Institute of Technology,College
California Lutheran University,105,California Lutheran University,College
California State University-Fullerton,97,California State University-Fullerton,College
California University of Pennsylvania,106,California University of Pennsylvania,College
Callaway High School,,Callaway High School,Other
Calloway County High School,,Calloway County High School,Other
Caltech,89,Caltech,College
Calvary Christian,,Calvary Christian,Other
Calvin,114,Calvin,College
Cameron University,996,Cameron,College
Cameron,996,Cameron,College
Camp Pinnacle,,Camp Pinnacle,Other
Campbell,115,Campbell,College
Campbell University,115,Campbell,College
Canada,,Canada,Other
Canisius,116,Canisius,College
Canisius College,116,Canisius,College
Cannon County High School,,Cannon County High School,Other
Canon-McMillan High School,,Canon-McMillan High School,Other
Canton High School,,Canton High School,Other
Cape Fear Community College,,Cape Fear CC,Community College
Capuchino High School,,Capuchino High School,Other
Cardiff,,Cardiff,Other
Cardiff Met Archers,,Cardiff Met Archers,Other
Cardinal Stritch,,Cardinal Stritch,College
Cardinal Stritch University,,Cardinal Stritch,College
Carl Albert High School,,Carl Albert High School,Other
Carl Albert State College,,Carl Albert State College,Community College
Carleton,118,Carleton,College
Carnegie Mellon,119,Carnegie Mellon,College
Carolina Cheetahs,,Carolina Cheetahs,Other
Carolina Panthers,,Carolina Panthers,Professional
Carolina Reign Elite,,Carolina Reign Elite,Other
Carolina University,,Carolina University,College
Caron Butler Basketball Camp,,Caron Butler Basketball Camp,Other
Carroll,120,Carroll,College
Carroll (WI),120,Carroll (WI),College
Carroll College,,Carroll College,College
Carrollton High School,,Carrollton High School,Other
Carrollton School of the Sacred Heart,,Carrollton School of the Sacred Heart,Other
Carson-Newman,1000,Carson-Newman,College
Carson-Newman College,1000,Carson-Newman,College
Carthage College,,Carthage College,College
Case Western Reserve University,122,Case Western Reserve,College
Casper Community College,,Casper CC,Community College
Castleton University,123,Castleton University,College
Catawba,1001,Catawba,College
Catawba College,1001,Catawba College,College
Cathedral Catholic High School,,Cathedral Catholic High School,Other
Catherine McAuley High School,,Catherine McAuley High School,Other
Catholic,124,Catholic,College
Catholic High,,Catholic High,Other
Catholic University of America,124,Catholic University of America,College
Cazenovia College,,Cazenovia College,College
CB Castellar,,CB Castellar,Other
CB Ripollet,,CB Ripollet,Other
"Community College of Baltimore County, Essex",,CC Baltimore County,Community College
Community College of Philadelphia,,CC Philadelphis,Community College
Community College of Rhode Island,,CC Rhode Island,Community College
CCNY,480,CCNY,College
