"team","in_out","player","height","year","position","hometown"
"North Texas","out","Courtlyn Loudermill","5-8","SR","combo guard","Carrollton, TX"
"Northeastern","out","Deja Bristol","6-1","SR","forward","Upper Marlboro, MD"
"Northeastern","out","Halle Idowu","5-11","SR","wing/forward","Calumet Park, IL"
"Northeastern","out","Amyrah Sapenter","5-8","SR","shooting guard","Newtown, CT"
"Northern Arizona","out","Fatoumata Jaiteh","6-1","JR","forward","Lynnwood, WA"
"Northern Colorado","out","Tiani Abrams","6-1","SO","wing","Vista, CA"
"Northern Colorado","out","Michelle Duchemin","6-0","JR","wing","Encino, CA"
"Northern Colorado","out","Seneca Hackley","5-9","SR","guard","Colorado Springs, CO"
"Northern Colorado","out","Tena Ikidi","6-3","JR","forward","Lagos, Nigeria"
"Northern Colorado","out","Luka Malinka","5-8","JR","shooting guard","Rungsted, Denmark"
"Northern Colorado","out","Hannah Simental","5-8","SR","point guard","Pueblo, CO"
"Northern Colorado","out","Paisley Specht","5-11","RS SO","wing","Folsom, CA"
"Northern Illinois","out","Grace Hunter","5-10","RS SR","guard","Monroeville, IN"
"Northern Illinois","out","Jayden Marable","5-6","SR","point guard","Bolingbrook, IL"
"Northern Illinois","out","Moriah Prewitt","5-8","JR","combo guard","Urbandale, IA"
"Northern Iowa","out","Riley Wright","5-11","RS SO","guard","Marion, IA"
"Northern Kentucky","out","Allison Basye",,,"guard/wing",
"Northern Kentucky","out","Carter McCray",,,"guard/wing",
"Northern Kentucky","out","Khamari Mitchell-Steen",,,"guard",
"Northwestern","in","Kyla Jones","5-9","SR","guard","Chicago, IL"
"Northwestern","in","Grace Sullivan","6-4","SO","center","Antioch, IL"
"Northwestern","out","Alana Goodchild","6-2","SO","forward","Sydney, Australia"
"Northwestern","out","Paige Mott","6-1","SR","forward/center","Philadelphia, PA"
"Northwestern State","out","Jordan Brown","5-9","RS SO","shooting guard","Plainsboro, NJ"
"Northwestern State","out","Niaisya Ervin","5-10","JR","wing","Newark, NJ"
"Northwestern State","out","Ivona Miljanic","6-0","SO","wing","Belgrade, Serbia"
"Northwestern State","out","Madison Moles","6-6","SO","center","Fresno, CA"
"Northwestern State","out","Nicole Parks","5-10","SO","shooting guard","Fall River, MA"
"Northwestern State","out","Mykaila Pickard","5-10","JR","guard","Anchorage, AK"
"Notre Dame","out","KK Bransford","5-11","SO","guard","Cincinnati, OH"
"Notre Dame","out","Natalija Marshall","6-5","RS JR","forward","Queens, NY"
"Notre Dame","out","Lauren Zwetzig","5-9","SR","shooting guard","Fort Collins, CO"
"Oakland","in","Cali Denson","5-8","FR","combo guard","Milwaukie, OR"
"Oakland","out","Cam Grant","6-1","RS SO","wing","Washington Township, MI"
"Oakland","out","Eva Pardo-Campillo","6-1","SO","forward","Asturias, Spain"
"Oakland","out","Brooke Quarles-Daniels","5-7","SO","point guard","Macomb, MI"
"Ohio","in","Anyssa Jones","5-10","SR","guard","Westerville, OH"
"Ohio","out","Laylay Fantroy","5-11","FR","combo guard","Palestine, TX"
"Ohio State","out","Diana Collins","5-9","FR","point guard","Lilburn, GA"
"Ohio State","out","Rikki Harris","5-10","RS SR","guard","Indianapolis, IN"
"Ohio State","out","Emma Shumate","6-1","RS SO","wing","Dresden, OH"
"Oklahoma","out","Kelbie Washington","5-7","JR","point guard","Norman, OK"
"Oklahoma State","in","Micah Gray","5-8","SO","shooting guard","Oklahoma City, OK"
"Oklahoma State","out","Ale'jah Douglas","5-6","SR","point guard","Omaha, NE"
"Oklahoma State","out","Kennedy Fauntleroy","5-7","SO","point guard","Upper Marlboro, MD"
"Oklahoma State","out","Mia Galbraith","5-9","FR","guard","Sunshine Coast, Australia"
"Oklahoma State","out","Lior Garzon","6-1","SR","forward","Ra'anana, Israel"
"Oklahoma State","out","Hannah Gusters","6-5","RS JR","center","Dallas, TX"
"Oklahoma State","out","Brianna Jackson","6-3","GR","center","Virginia Beach, VA"
"Oklahoma State","out","Chandler Prater","5-11","GR","guard","Kansas City, MO"
"Old Dominion","out","Joy Campbell","5-6","SR","point guard","Fontana, CA"
"Old Dominion","out","La'Dajah Huguley","5-4","JR","point guard","Opelika, AL"
"Old Dominion","out","Ivi Nikolova","6-2","RS JR","wing/forward","Samokov, Bulgaria"
"Old Dominion","out","Nnenna Orji","6-2","SR","center","Rancho Cucamonga, CA"
"Old Dominion","out","Halima Salat","5-5","JR","shooting guard","Amarillo, TX"
"Old Dominion","out","De'Shawnti Thomas","5-10","JR","wing/forward","Tulsa, OK"
"Omaha","out","Kennedi Grant","5-7","JR","shooting guard","Midwest City, OK"
"Omaha","out","Liz Martino","6-0","RS JR","shooting guard","Lanham, MD"
"Oral Roberts","out","Tara Biocanin",,"FR","wing","Belgrade, Serbia"
"Oral Roberts","out","Sephora Kayolo",,"FR","wing","Lubumbashi, Democratic Republic of the Congo"
"Oregon","in","Elisa Mevius","5-10","SO","guard","Rendsburg, Germany"
"Oregon","out","Kennedy Basham","6-7","SO","center","Phoenix, AZ"
"Oregon","out","Chance Gray","5-9","SO","point guard","Cincinnati, OH"
"Oregon","out","Grace VanSlooten","6-3","SO","wing/forward","Toledo, OH"
"Oregon","out","Priscilla Williams","6-2","RS JR","shooting guard/wing","Houston, TX"
"Oregon State","out","Adlee Blacklock","6-0","SO","shooting guard","Lubbock, TX"
"Oregon State","out","Timea Gardiner","6-3","SO","forward","Ogden, UT"
"Oregon State","out","Talia von Oelhoffen","5-11","SR","guard","Tri-Cities, WA"
"Penn","out","Jordan Obi","6-1","SR","forward","Hartford, CT"
"Penn","out","Michaela Stanfield","6-0","SR","wing","Needham, MA"
"Penn State","out","Ali Brigham","6-4","SR","center","Franklin, MA"
"Penn State","out","Shay Ciezki","5-7","SO","combo guard","Buffalo, NY"
"Penn State","out","Leilani Kapinus","5-10","RS JR","shooting guard/wing","Madison, WI"
"Pepperdine","out","Kendyl Carson","6-0","JR","wing","Juneau, AK"
"Pepperdine","out","Holly Griffiths","6-4","FR","forward","Melbourne, Australia"
"Pepperdine","out","Jane Nwaba","5-10","SR","wing/forward","Carson, CA"
"Pepperdine","out","Jorynn Ross","6-3","FR","forward","Milwaukee, WI"
"Pitt","in","Raeven Boswell","5-11","SO","guard","Austin, TX"
"Pitt","out","Rapuluchi Ayodele","6-1","JR","forward","Móstoles, Spain"
"Pitt","out","Gabby Hutcherson","6-2","SR","forward","Westerville, OH"
"Pitt","out","Liatu King","6-0","SR","forward","Washington, DC"
"Pitt","out","Jasmine Timmerson","5-7","FR","point guard","Wexford, PA"
"Portland State","out","Chimera Iloanya","6-0","RS SO","wing","Tampa, FL"
"Portland State","out","Esmeralda Morales","5-5","JR","combo guard","Spanaway, WA"
"Portland State","out","Alma Rashelbach","6-0","FR","wing/forward","Portland, OR"
"Prairie View A&M","in","Kimora Sykes","6-0","RS SR","forward","Fontana, CA"
"Prairie View A&M","out","Mia Monroe","5-6","JR","shooting guard","Colorado City, TX"
"Prairie View A&M","out","Kimora Sykes","6-0","RS SR","forward","Fontana, CA"
"Presbyterian","out","Aubrie Kierscht","5-6","SO","point guard","Salina, KS"
"Princeton","out","Kaitlyn Chen","5-9","SR","point guard","San Marino, CA"
"Princeton","out","Chet Nweke","6-0","SR","wing","Woodbine, MD"
"Providence","in","Mackayla Scarlett","5-10","SR","shooting guard/wing","Bronx, NY"
"Providence","out","Kendall Eddy","5-7","FR","combo guard","Haverhill, MA"
"Providence","out","Sahana Kanagasabay","5-11","FR","wing","Surrey, BC"
"Providence","out","Kammie Ludwig","5-10","SO","shooting guard/wing","Geneseo, IL"
"Providence","out","Bella McLaughlin","5-8","FR","point guard","Hampden, ME"
"Purdue","out","Emily Monson","6-1","FR","shooting guard/wing","Murfreesboro, TN"
"Purdue Fort Wayne","out","Klea Kaci","5-11","RS FR","shooting guard","Mississauga, ON"
"Purdue Fort Wayne","out","Konstantina Mantziori","5-5","FR","point guard","Athens, Greece"
"Purdue Fort Wayne","out","Erin Woodson","6-0","FR","shooting guard","Richmond, VA"
"Queens University of Charlotte","in","Ana Barreto","5-9","SO","wing","Portugal"
"Queens University of Charlotte","out","Hawa Balde","6-4","SO","center","Pineda de Mar, Spain"
"Queens University of Charlotte","out","Trinity Butler","5-10","FR","shooting guard","Dacula, GA"
"Queens University of Charlotte","out","Mycala Carney","5-4","JR","point guard","Williamstown, NJ"
"Queens University of Charlotte","out","Kennedy Fuller","5-7","JR","guard","Woodbridge, VA"
"Queens University of Charlotte","out","Nicole Gwynn","5-7","JR","shooting guard","Wethersfield, CT"
"Queens University of Charlotte","out","Alexandria Johnson","5-6","SR","guard","Little Rock, AR"
"Queens University of Charlotte","out","Tameia Shaw","5-5","JR","point guard","Nashville, TN"
"Quinnipiac","out","Emma Carman","5-10","FR","wing/forward","Barnegat, NJ"
"Quinnipiac","out","Reiven Douglas","5-7","JR","combo guard","Raleigh, NC"
"Quinnipiac","out","Kassidy Thompson","5-10","FR","shooting guard","Mullica Hill, NJ"
"Radford","out","Bria Beverly","5-11","SO","guard","Dallastown, PA"
"Radford","out","Emma Fox","6-4","SO","center","Newton, NC"
"Radford","out","Maci Rhoades","5-11","SO","wing","Beavercreek, OH"
"Radford","out","Ashlyn Traylor-Walker","5-8","SO","guard","Franklin, IN"
"Radford","out","Olivia Wagner","5-7","SO","guard","Crozet, VA"
"Rhode Island","out","Tenin Magassa","6-5","SR","center","Morsang-Sur-Orge, France"
"Rhode Island","out","Sophie Sene","6-3","RS SO","center","Nice, France"
"Rhode Island","out","Mayé Touré","6-2","SR","forward","Athis-Mons, France"
"Richmond","out","Kylee Lewandowski","6-1","SR","wing","Pittsburgh, PA"
"Richmond","out","Melissa Mwanza","6-2","FR","center","Harare, Zimbabwe"
"Richmond","out","Torin Rogers","6-1","SO","forward","Brasstown, NC"
"Richmond","out","Siobhan Ryan","6-0","SR","guard","Buffalo, NY"
"Richmond","out","Grace Townsend","5-5","SR","point guard","Midlothian, VA"
"Rider","in","Gabby Turco","5-10","JR","guard","Wildwood, NJ"
"Rider","out","Makayla Firebaugh","5-10","SR","guard","Winchester, VA"
"Rider","out","Molly Lynch","5-9","SR","combo guard","Sea Girt, NJ"
"Robert Morris","out","Louella Allana","5-4","SO","point guard","Laval, Quebec"
"Robert Morris","out","Camila Bozan","6-1","FR","center","Santiago, Chile"
"Robert Morris","out","Tuana Coskun","6-0","FR","wing","Istanbul, Turkey"
"Robert Morris","out","Natalie Johnson","5-8","SO","combo guard","Waldorf, MD"
"Robert Morris","out","Paris Kirk","6-2","FR","forward","Kelowna, BC"
"Robert Morris","out","Eden Monka","5-10","FR","wing","Montreal, Quebec"
"Rutgers","out","Jillian Huerter","6-0","FR","guard","Clifton Park, NY"
"Rutgers","out","Erica Lafayette","6-0","SR","wing","Baton Rouge, LA"
"Rutgers","out","Kaylene Smikle","6-0","SO","guard","Farmingdale, NY"
"Sacramento State","out","Kaylie Edge",,,"guard",
"Sacramento State","out","Irune Orio","6-2","SO","wing","Balmaseda, Euskadi, Spain"
"Sacramento State","out","Ayanna Jackson",,,"wing",
"Sacramento State","out","Seilala Lautaimi",,,"wing",
"Sacramento State","out","J'yana Salton",,,"guard",
"Sacramento State","out","Celestine Segretain",,,"guard",
"St. Bonaventure","out","Kirah Dandridge","5-10","SO","wing","Richmond, VA"
"St. Bonaventure","out","Taylor Napper","6-0","JR","forward","Lorton, VA"
"St. Francis (Pa.)","out","Kendall Carruthers","5-7","FR","point guard","Holland, OH"
"St. Francis (Pa.)","out","Kaitlyn Maxwell","5-7","SR","combo guard","Everett, PA"
"St. John's","out","Tyonna Bailey","5-10","FR","shooting guard/wing","Newark, NJ"
"Saint Louis","out","Ashleigh Connor","5-11","RS FR","guard","Pittsburgh, PA"
"Saint Louis","out","Mia Nicastro","6-1","SO","wing","St. Charles, MO"
"Saint Mary's","out","Ellie Croco","6-1","SR","forward","Lebanon, OR"
"Saint Mary's","out","Tayla Dalton","5-9","SR","guard","Auckland, New Zealand"
"Saint Mary's","out","Jasmine Farmer","5-9","JR","shooting guard","Hercules, CA"
"Saint Mary's","out","Leia Hanafin","5-11","SR","guard","Melbourne, Australia"
"Saint Mary's","out","Makena Mastora","5-9","JR","guard","Alameda, CA"
"Saint Mary's","out","Hannah Rapp","5-10","JR","guard","Melbourne, Australia"
"Saint Peter's","out","Tiara Bellamy","5-7","SO","combo guard","Plainfield, NJ"
"Saint Peter's","out","Erin Harris","5-8","RS JR","shooting guard","West Haven, CT"
"Saint Peter's","out","Rachel Kuhl","5-7","SR","guard","Matawan, NJ"
"Saint Peter's","out","Jada Leonard","5-8","SO","shooting guard","Bronx, NY"
"Saint Peter's","out","Jada Williams","6-1","JR","forward","Williamstown, NJ"
"St. Thomas","out","Sammi Beyer","5-6","FR","combo guard","Appleton, WI"
"St. Thomas","out","Natalie Greenwood","6-3","RS SO","center","Roanoke, TX"
"Sam Houston State","out","Racheal Emmanuel","6-2","JR","center","Port Harcourt, Nigeria"
"Sam Houston State","out","Diarrah Sissoko","5-10","JR","guard","Bamako, Mali"
"Samford","in","Alexis Woods","6-2","RS SR","forward","Athens, AL"
"Samford","out","Carly Heidger","6-3","RS SO","wing","Dacula, GA"
"Samford","out","Masyn Marchbanks","5-8","SO","point guard","Hartselle, AL"
"Samford","out","Kiersten Nelson","6-1","SR","forward","New Orleans, LA"
"Samford","out","Rylie Stephens","5-11","SR","wing","Fairland, IN"
"San Diego","out","Melesungu Afeaki","6-2","SO","forward","San Bruno, CA"
"San Diego","out","Jess Finney","6-0","JR","combo guard","Scottsdale, AZ"
"San Diego","out","Harsimran Kaur","6-4","JR","forward","Kapurthala, India"
"San Diego","out","Veronica Sheffey","5-9","SO","point guard","Woodinville, WA"
"San Diego","out","Maddie Vejsicky","6-0","SO","shooting guard","Newark, OH"
"San José State","out","Alani Fluker","6-1","SR","forward","San Antonio, TX"
"San José State","out","Jyah LoVett","5-8","FR","combo guard","San Gabriel, CA"
"San José State","out","Sabrina Ma","5-10","SO","shooting guard/wing","San Francisco, CA"
"San José State","out","Amhyia Moreland","6-1","JR","forward/center","Charlotte, NC"
"San José State","out","Aniyah Quow","5-6","JR","guard","Brooklyn, NY"
"Santa Clara","out","Lara Edmanson","6-0","SR","wing","Melbourne, Australia"
"Santa Clara","out","Tess Heal","5-10","SO","point guard","Melbourne, Australia"
"Santa Clara","out","Ashley Hiraki","5-7","SR","point guard","San Jose, CA"
"Santa Clara","out","Marya Hudgins","6-0","SO","wing","Aurora, CO"
"Santa Clara","out","Danja Stafford Collins","6-1","GR","forward","Orme, UT"
"Santa Clara","out","Rafailia Stergaki","5-10","JR","shooting guard/wing","Thessaloniki, Greece"
"Seattle","in","Taisiya Kozlova","6-1","SR","wing","Moscow, Russia"
"Seattle","in","Tamia Stricklin","6-0","RS SO","wing","Renton, WA"
"Seattle","out","Noemie Bariteau","5-7","SO","combo guard","San Jose, CA"
"Seattle","out","Asta Blauenfeldt","5-6","SO","guard","Kongens Lyngby, Denmark"
"Seattle","out","Peyton Howard","5-9","SR","guard","Spokane, WA"
"Seattle","out","Irena Korolenko","6-0","SR","wing","Redmond, WA"
"Seattle","out","Lisa Michaelsen","6-1","SO","forward","Holbæk, Denmark"
"Seattle","out","Makayla Moore","6-0","SO","wing","San Jose, CA"
"Seattle","out","Mya Moore","6-0","SO","forward","Milwaukee, WI"
"Seton Hall","in","Nicole Melious","5-8","FR","combo guard","Staten Island, NY"
"Seton Hall","out","Micah Gray","5-8","SO","shooting guard","Oklahoma City, OK"
"Seton Hall","out","Makennah White","6-2","SR","forward","West Middlesex, PA"
"Siena","out","Hannah Finnerty","6-0","SO","wing","Woodside, NY"
"Siena","out","London Gamble","5-8","SO","combo guard","Westlake Village, CA"
"Siena","out","Elisa Mevius","5-10","SO","guard","Rendsburg, Germany"
"Siena","out","Constance Ogbeide","6-1","FR","center","Lleida, Spain"
"Siena","out","Esther Rodellar","5-9","FR","guard","Ripollet, Spain"
"Siena","out","Nikola Zdenkova","5-9","RS FR","point guard","Karlovy Vary, Czech Republic"
"South Alabama","in","Daniela Gonzalez","6-0","SO","forward","Jamundí, Colombia"
"South Alabama","out","Camryn Berry",,,"guard/wing",
"South Alabama","out","Emani Burks",,,"guard/wing",
"South Alabama","out","Kamaria Gipson",,,"guard/wing",
"South Alabama","out","Cheyenne Pearson",,,"guard/wing",
"South Alabama","out","Kelsey Thompson",,,"guard/wing",
"South Alabama","out","Tyrielle Williams","5-7","RS SO","guard","New Orleans, LA"
"South Carolina","out","Sahnya Jah","6-0","FR","wing","Alexandria, VA"
"USC Upstate","in","Maggie Brown","6-1","SR","wing/forward","Brentwood, TN"
"South Dakota","in","Miah Monahan","5-8","JR","point guard","Silver Lake, MN"
"South Dakota","out","Joy Bergstrom","5-9","RS FR","shooting guard","Mount Prospect, IL"
"South Dakota","out","Walker Demers","6-2","SO","center","Grafton, ND"
"South Dakota","out","Kendall Holmes","5-11","SR","shooting guard","Plainfield, IL"
"South Florida","in","Mama Dembele","5-6","SR","point guard","Manlleu, Spain"
"South Florida","in","Ines Piper","6-0","SR","forward","Paris, France"
"South Florida","out","Marina Asensio","5-8","SO","point guard","Sabadell, Spain"
"South Florida","out","Daniela Gonzalez","6-0","SO","forward","Jamundí, Colombia"
"South Florida","out","Emma Johansson","6-3","SO","forward/center","Jönköping, Sweden"
"South Florida","out","Judit Oliva Fernandez","6-2","FR","center","El Prat De Llobregat, Spain"
"South Florida","out","Judit Valero Rodriguez","5-11","FR","shooting guard","Sant Feliu de Llobregat, Spain"
"Southeast Missouri","out","Daejah Richmond","5-8","FR","point guard","Cordova, TN"
"Southeastern Louisiana","in","Kaili Chamberlin","5-9","JR","shooting guard","Medford, OR"
"Southeastern Louisiana","out","Breyionce George",,,"guard",
"Southeastern Louisiana","out","Alexius Horne","6-1","GR","guard","New Orleans, LA"
"Southern","out","Sirviva Legions","5-7","SO","guard","Brooklyn, NY"
"Southern","out","Kyanna Morgan","5-10","SR","guard","Charlotte, NC"
"Southern Cal","out","Taylor Bigby","6-1","RS SO","guard","Las Vegas, NV"
"Southern Cal","out","Koi Love","6-0","SR","forward","Orlando, FL"
"Southern Illinois","out","Jaidynn Mason",,,"guard",
"Southern Illinois","out","Laniah Randle",,,"forward/wing",
"Southern Illinois","out","Maddy Saracco",,,"guard",
"Southern Illinois","out","Shemera Williams","5-8","GR","guard","Baltimore, MD"
"SIUE","out","Alexis Legan","5-9","SR","guard","Palm Desert, CA"
"Southern Indiana","out","Takiya Howard",,,"guard",
"SMU","in","Nicole Rodriguez","5-8","SR","shooting guard","Eastvale, CA"
"SMU","out","Maya Chandler","5-7","SR","combo guard","Martinsville, IN"
"SMU","out","Aaliyah Henderson","5-7","FR","point guard","Norman, OK"
"SMU","out","Tamia Jones","5-8","SR","guard","The Colony, TX"
"SMU","out","Jiya Perry","5-10","SO","guard","DeSoto, TX"
"SMU","out","Shanel Reid","6-0","FR","wing","Austin, TX"
"Southern Miss","out","Elle Blatchford","5-10","FR","point guard","Canton, GA"
"Southern Miss","out","Noelani Cornfield","5-6","SR","point guard","Gowanda, NY"
"Southern Miss","out","Brikayla Gray","5-8","RS JR","shooting guard","Hebron, MS"
"Southern Miss","out","Lauren Gross","5-10","GR","shooting guard","Southaven, MS"
"Southern Miss","out","Asjha Leake","6-3","JR","center","Cibolo, TX"
"Southern Miss","out","Emma Wallhoff","5-10","JR","shooting guard","Fort Lauderdale, FL"
"Southern Utah","out","Alexandra Eldredge","5-10","FR","guard","McLean, VA"
"Southern Utah","out","Shiho Isono","5-6","JR","point guard","Fukuoka, Japan"
"Southern Utah","out","Tomekia Whitman","5-10","SR","guard","Spokane Valley, WA"
"Stephen F. Austin","out","Destini Lombard","5-9","SR","guard","New Iberia, LA"
"Stephen F. Austin","out","Tyler McCliment-Call","6-0","SR","guard","Spokane, WA"
"Stephen F. Austin","out","Zoe Nelson","6-2","JR","forward","Austin TX"
"Stephen F. Austin","out","Trinity Slocum","5-9","RS SO","point guard","Boise, ID"
"Stetson","out","Haley Stinebrickner","5-7","JR","point guard","London, ON"
"Stetson","out","Khamya McNeal","5-8","RS JR","guard","Milwaukee, WI"
"Stetson","out","Jordan Peete","5-6","SR","guard","St. Louis, MO"
"Stetson","out","Jaelyn Talley","6-0","SO","forward","Fairfax, VA"
"Stetson","out","Skylar Treadwell","6-1","SR","wing","Martinsburg, WV"
"Stony Brook","out","Victoria Keenan","5-7","GR","shooting guard","Bethlehem, PA"
"Stony Brook","out","Dallysshya Moreno","6-0","FR","wing","Baldwin, NY"
"Stony Brook","out","Sherese Pittman","6-2","SO","forward","Richmond, VA"
"Stony Brook","out","Delaney Yarborough","6-3","SO","forward","Ellicott City, MD"
"Syracuse","out","Alyssa Latham","6-2","FR","forward","Glenwood, IL"
"Syracuse","out","Cheyenne McEvans","5-9","SR","combo guard","Detroit, MI"
"Syracuse","out","Kennedi Perkins","5-6","SO","point guard","Bolingbrook, IL"
"Syracuse","out","Marilena Triantafylli","6-5","FR","center","Athens, Greece"
"Tarleton State","out","Lexi Bull","6-0","SR","wing","Pocatello, ID"
"Tarleton State","out","Malgorzata Byczkowska","5-11","JR","shooting guard","Gdynia, Poland"
"Tarleton State","out","Vitória Carvalho","6-3","JR","center","Rio de Janeiro, Brazil"
"Tarleton State","out","Dyamon Griggs","5-11","SO","forward","Waco, TX"
"Tarleton State","out","Teresa Maggio","5-5","RS FR","point guard","Lafayette, IN"
"Tarleton State","out","Nykesha Sanders","5-7","JR","point guard","Detroit, MI"
"Temple","out","Jasha Clinton","5-8","SR","point guard","Virginia Beach, VA"
"Temple","out","Ines Piper","6-0","SR","forward","Paris, France"
"Temple","out","Rayne Tucker","6-1","RS SR","forward/center","New Carrollton, MD"
"UT Martin","in","Daejah Richmond","5-8","FR","point guard","Cordova, TN"
"UT Martin","out","Kendal George","5-9","FR","shooting guard","Centerville, OH"
"UT Martin","out","Mah Minthe","5-10","JR","wing/forward","Paris, France"
"UT Martin","out","Tori Rubel","6-1","FR","wing","Cape Girardeau, MO"
"UT Martin","out","Josie Storey","5-10","SO","guard","Mountain View, AR"
"Tennessee State","out","Kennedy Davis","6-0","SR","forward","White Plains, MD"
"Tennessee State","out","Kameria Piggee","6-1","JR","forward","Pasadena, CA"
"Tennessee Tech","out","Cayla Cowart","5-8","SO","combo guard","Gainesville, GA"
"Tennessee Tech","out","Harley Paynter","5-8","RS SO","combo guard","Grayson, KY"
"Tennessee Tech","out","Jennifer Sullivan","5-8","SO","guard","Knoxville, TN"
"Texas","out","DeYona Gaston","6-2","SR","forward","Pearland, TX"
"Texas","out","Khadija Faye","6-4","SR","center","Dakar, Senegal"
"Texas A&M","out","Janiah Barker","6-4","SO","forward","Marietta, GA"
"Texas A&M","out","Kay Kay Green","5-6","SR","point guard","Chicago, IL"
"Texas A&M","out","Tineya Hylton","5-7","JR","point guard","Toronto, ON"
"Texas A&M","out","Maliyah Johnson","6-3","RS JR","forward","Chicago, IL"
"Texas A&M-Commerce","out","DaLonna Choice","5-6","RS FR","point guard","Mesquite, TX"
"Texas A&M-Commerce","out","Lucia Hervia","6-0","FR","wing","Almería, Spain"
"Texas A&M-Commerce","out","Jada Hood","5-6","SR","guard","Roseville, MN"
"Texas A&M-Commerce","out","Dorian Norris","5-11","JR","guard","Lake Dallas, TX"
"UT Arlington","in","Koi Love","6-0","SR","forward","Orlando, FL"
"UT Arlington","out","Hannah Humphrey","5-8","JR","shooting guard","Kendleton, TX"
"UT Arlington","out","Starr Jacobs","6-2","RS SR","forward","Dallas, TX"
"UT Arlington","out","Keiori Lee","5-9","SR","wing","Flint, MI"
"UT Arlington","out","Masengo Mutanda","5-7","RS SR","combo guard","Minneapolis, MN"
"TCU","in","Haley Cavinder","5-6","SR","guard","Gilbert, AZ"
"TCU","out","Paige Bradley","5-9","JR","shooting guard","Dallas, TX"
"TCU","out","Jade Clack","6-1","FR","wing","Austin, TX"
"TCU","out","Victoria Flores","5-7","FR","point guard","West Dallas, TX"
"TCU","out","Sydney Harris","6-1","SO","wing","Edwardsville, IL"
"TCU","out","Bre'yon White","5-11","JR","wing","Pearland, TX"
"UTEP","out","D'Arrah Allen","5-8","JR","point guard","Los Angeles, CA"
"UTEP","out","Mahri Petree","6-0","SR","guard","Detroit, MI"
"UTEP","out","Veonce Powell","5-7","RS SO","guard","Miami, FL"
"UTEP","out","Mariama Sow","6-3","JR","forward","Thies, Senegal"
"UTEP","out","Aaliyah Stanton","5-5","FR","point guard","San Diego, CA"
"UTEP","out","Adhel Tac","6-0","JR","forward","Garland, TX"
"UTEP","out","Zhane Thompson","5-8","RS JR","combo guard","Burnsville, MN"
"UTRGV","out","Iyana Dorsey","5-6","SR","shooting guard","Saginaw, TX"
"UTRGV","out","Aaliyah McMillan","5-8","RS SO","guard","San Antonio, TX"
"UTRGV","out","Deborah Ogayemi","5-11","SR","forward","Waterford, Ireland"
"UTSA","out","Madison Cockrell","5-4","SO","point guard","Dallas, TX"
"UTSA","out","Sarai Estupiñan","5-5","JR","point guard","Cedar Park, TX"
"UTSA","out","Kyleigh McGuire","5-11","SR","forward","Houston, TX"
"UTSA","out","Nissa Sam-Grant","6-4","SR","center","Toronto, ON"
"Texas Southern","out","Gretta Galban","5-9","FR","shooting guard","Galicia, Spain"
"Texas Southern","out","Taniya Lawson","5-8","SO","shooting guard","Capitol Heights, MD"
"Texas Southern","out","Kamaya Middleton","5-6","SO","point guard","San Bernardino, CA"
"Texas Southern","out","Ashara Spruill","5-9","FR","point guard","Asheboro, NC"
"Texas Southern","out","Jordyn Turner","6-2","JR","forward/center","Oklahoma City, OK"
"Texas State","out","Kennedy Claybrooks","5-6","SO","point guard","Cordova, TN"
"Texas State","out","Julia Coleman","6-0","FR","forward","St. Louis, MO"
"Texas State","out","Emillia Steele","5-10","FR","wing","Euless, TX"
"Texas State","out","Tiffany Tullis","5-11","JR","forward","San Antonio, TX"
"Texas Tech","out","Elina Arike","6-0","SR","forward","Helsinki, Finland"
"Texas Tech","out","Ashley Chevalier","5-7","SR","point guard","Chatsworth, CA"
"Texas Tech","out","Jazion Jackson","5-9","GR","point guard","Dallas, TX"
"Texas Tech","out","Saga Ukkonen","5-9","JR","point guard","Helsinki, Finland"
"Toledo","out","Soleil Barnes","5-6","RS SR","guard","Southfield, MI"
"Toledo","out","Bella Swedlund","5-8","RS FR","shooting guard","Winner, SD"
"Troy","in","Briana Peguero","5-7","JR","guard","Houston, TX"
"Troy","out","Gabbi Cartagena","5-8","JR","shooting guard/wing","Jackson, GA"
"Troy","out","Sara Carvajal Caro","6-3","JR","center","Seville, Spain"
"Troy","out","Sharonica Hartsfield","5-5","SR","point guard","Oklahoma City, OK"
"Troy","out","Jamila Nansikombi-Gunter","5-11","SR","wing","Kampala, Uganda"
"Troy","out","Shaniah Nunn","6-0","SO","wing","Birmingham, AL"
"Tulsa","out","Amira Brown",,,"guard",
"Tulsa","out","Queen Ikhiuwu","6-1","FR","center","Navalcarnero, Spain"
"Tulsa","out","Caroline Lyles","6-0","SO","shooting guard","Argyle, TX"
"Tulsa","out","Caranda Perea",,,"guard",
"Utah","out","Daniela Falcon Hernandez","6-2","FR","wing/forward","Las Palmas Gran Canaria, Spain"
"Utah","out","Lani White","5-11","SO","guard","Irvine, CA"
"Utah State","out","Lauren Crocker",,"FR","wing","Logan, UT"
"Utah State","out","Tiairra Hill-Brown",,"FR","wing","Ogden, UT"
"Utah State","out","Skye Miller",,"FR","wing","Providence, UT"
"Utah State","out","Bridget Mullings",,"FR","wing","Hooper, UT"
"Utah State","out","Macy Smith",,"FR","wing","North Logan, UT"
"Utah State","out","Ali Wetta",,"FR","wing","Syracuse, UT"
"Utah Tech","out","Aubrey Amendala","5-6","SO","point guard","Tumwater, WA"
