ncaa_id,game_id,date,start_time,location,home,home_fouls,home_technicals,visitor,visitor_fouls,visitor_technicals,officials
796,13858,1/27/2022,8:00 PM,"Pinnacle Bank Arena, Lincoln, NE",Nebraska,14,0,Wisconsin,10,0,"Erica Parker ,  Angie Enlund,  Kevin Pethtel"
796,13726,11/19/2021,6:30 PM,"Renaissance Coliseum, Peoria, IL",Bradley,12,0,Wisconsin,23,0,"Erica Parker,  Tim Daley,  Doug Knight"
796,13869,2/23/2022,6:30 PM,"Kohl Center, Madison, WI",Wisconsin,19,0,Nebraska,12,0,"Angelica Suffren,  Tiara Cruse,  Gina Cross"
796,13832,12/9/2021,8:00 PM,"Kohl Center, Madison, WI",Wisconsin,20,0,Michigan,20,0,"Angelica Suffren,  Felicia Grinter,  Gina Cross"
796,13868,2/20/2022,2:00 PM,"Value City Arena, Columbus, OH",Ohio St.,17,0,Wisconsin,15,0,"Kalei Enterline,  Nykesha Thompson,  Brad Maxey"
796,13867,2/13/2022,1:00 PM,"Kohl Center, Madison, WI",Wisconsin,11,0,Purdue,18,0,"Xiomara Cruz,  Erika Herriman,  Bryan Enterline"
796,14176,2/16/2022,6:30 PM,"Kohl Center, Madison, WI",Wisconsin,16,0,Michigan St.,11,0,"Natasha Camy,  Tim Daley,  Julie Krommenhoek"
796,13871,3/2/2022,4:30 PM,"Gainbridge Fieldhouse, Indianapolis, IN",Wisconsin,13,0,Illinois,13,0,"Brian Hall,  Nykesha Thompson,  Michael McConnell"
796,13831,12/5/2021,2:00 PM,"Welsh-Ryan Arena, Evanston, IL",Northwestern,14,0,Wisconsin,18,0,"Missy Brooks,  Brian Garland,  Kevin Pethtel"
796,13866,2/9/2022,6:00 PM,"XFINITY Center, College Park, MD",Maryland,12,1,Wisconsin,17,0,"Erica Parker,  Michael McConnell,  Angelica Suffren"
796,13836,1/12/2022,6:30 PM,"Kohl Center, Madison, WI",Wisconsin,18,0,Minnesota,18,0,"Erica Parker,  Brian Hall,  Felicia Grinter"
796,13733,12/16/2021,6:30 PM,"Kohl Center, Madison, WI",Wisconsin,12,0,Illinois St.,10,0,"Xiomara Cruz,  Mark Resch,  Nykesha Thompson"
796,13725,11/14/2021,1:00 PM,"Kohl Center, Madison, WI",Wisconsin,14,0,Njit,13,0,"Kelsey Reynolds,  Karleena Tobin,  Julie Krommenhoek"
796,13857,1/23/2022,2:00 PM,"Kohl Center, Madison, WI",Wisconsin,12,0,Penn St.,16,0,"Jamie Broderick,  Maggie Tieman,  Felicia Grinter"
796,13729,11/27/2021,3:30 PM,"CU Events Center, Boulder, CO",Wisconsin,12,0,Boise St.,16,0,"Kim Hobbs,  Richard Waters,  Tiffany Bird"
796,13728,11/24/2021,6:00 PM,"Klotsche Center, Milwaukee, WI",Milwaukee,14,0,Wisconsin,20,0,"Kayla Maxey,  Jodie Duffe,  Max Berger"
796,13840,1/20/2022,7:00 PM,"Crisler Center, Ann Arbor, MI",Michigan,14,0,Wisconsin,18,0,"Josh Howell,  Erika Herriman,  Mark Resch"
796,13724,11/10/2021,6:30 PM,"Kohl Center, Madison, WI",Wisconsin,12,0,St. Thomas (MN),15,0,"Gerda Gatling,  Nykesha Thompson,  Gina Cross"
796,13732,12/12/2021,2:00 PM,"Kohl Center, Madison, WI",Wisconsin,16,0,Green Bay,15,0,"Erica Parker,  Kalei Enterline,  Tim Daley"
